id,signal_id,strategy_id,user_id,symbol,isin,exchange,order_type,order_side,product_type,qty,filled_qty,limit_price,trigger_price,avg_fill_price,broker_order_id,broker_status,indira_symbol,exchange_token,status,retry_count,max_retries,last_error,parent_order_id,created_at,placed_at,filled_at,cancelled_at,updated_at,trade_date,exchange_error_code,exchange_error_tag,reject_category,algo_id,broker_trigger_price,broker_limit_price
8834,2e1816df-9f5a-510d-9617-22b2e8f81877-amo-20260824-r93,e36bd07e-4eb9-48c0-8425-62ce25715149,FIV99,MANORAMA,INE00VM01036,NSE,SL_SELL_AMO,SELL,CNC,20,0,1629.50,1634.40,,,,STK_MANORAMA_EQ_NSE_10227,10227,REJECTED,0,3,place order request failed: indira: session expired (AU0xx): AU004 Session expired,5086,2026-08-22 05:31:11.579997+00,,,,2026-08-22 05:31:11.602721+00,2026-08-24,,,,,,
8835,8bb6cd9a-5d7f-5492-b5fe-0e2c6b33e081-amo-20260824-r93,e36bd07e-4eb9-48c0-8425-62ce25715149,FIV99,SHANTIGOLD,INE06ZD01017,NSE,SL_SELL_AMO,SELL,CNC,149,0,217.00,217.65,,,,STK_SHANTIGOLD_EQ_NSE_758002,758002,REJECTED,0,3,place order request failed: indira: session expired (AU0xx): AU004 Session expired,5087,2026-08-22 05:31:11.618077+00,,,,2026-08-22 05:31:11.625834+00,2026-08-24,,,,,,
8836,2e1816df-9f5a-510d-9617-22b2e8f81877-amo-20260824-r94,e36bd07e-4eb9-48c0-8425-62ce25715149,FIV99,MANORAMA,INE00VM01036,NSE,SL_SELL_AMO,SELL,CNC,20,0,1629.50,1634.40,,,,STK_MANORAMA_EQ_NSE_10227,10227,REJECTED,0,3,place order request failed: indira: session expired (AU0xx): AU004 Session expired,5086,2026-08-22 05:36:11.51785+00,,,,2026-08-22 05:36:11.527055+00,2026-08-24,,,,,,
8837,8bb6cd9a-5d7f-5492-b5fe-0e2c6b33e081-amo-20260824-r94,e36bd07e-4eb9-48c0-8425-62ce25715149,FIV99,SHANTIGOLD,INE06ZD01017,NSE,SL_SELL_AMO,SELL,CNC,149,0,217.00,217.65,,,,STK_SHANTIGOLD_EQ_NSE_758002,758002,REJECTED,0,3,place order request failed: indira: session expired (AU0xx): AU004 Session expired,5087,2026-08-22 05:36:11.533184+00,,,,2026-08-22 05:36:11.539196+00,2026-08-24,,,,,,
8838,2e1816df-9f5a-510d-9617-22b2e8f81877-amo-20260824-r95,e36bd07e-4eb9-48c0-8425-62ce25715149,FIV99,MANORAMA,INE00VM01036,NSE,SL_SELL_AMO,SELL,CNC,20,0,1629.50,1634.40,,,,STK_MANORAMA_EQ_NSE_10227,10227,REJECTED,0,3,place order request failed: indira: session expired (AU0xx): AU004 Session expired,5086,2026-08-22 05:36:29.25311+00,,,,2026-08-22 05:36:29.260985+00,2026-08-24,,,,,,
8839,8bb6cd9a-5d7f-5492-b5fe-0e2c6b33e081-amo-20260824-r95,e36bd07e-4eb9-48c0-8425-62ce25715149,FIV99,SHANTIGOLD,INE06ZD01017,NSE,SL_SELL_AMO,SELL,CNC,149,0,217.00,217.65,,,,STK_SHANTIGOLD_EQ_NSE_758002,758002,REJECTED,0,3,place order request failed: indira: session expired (AU0xx): AU004 Session expired,5087,2026-08-22 05:36:29.268297+00,,,,2026-08-22 05:36:29.274744+00,2026-08-24,,,,,,
8840,2e1816df-9f5a-510d-9617-22b2e8f81877-amo-20260824-r96,e36bd07e-4eb9-48c0-8425-62ce25715149,FIV99,MANORAMA,INE00VM01036,NSE,SL_SELL_AMO,SELL,CNC,20,0,1629.50,1634.40,,,,STK_MANORAMA_EQ_NSE_10227,10227,REJECTED,0,3,place order request failed: indira: session expired (AU0xx): AU004 Session expired,5086,2026-08-22 05:41:18.177529+00,,,,2026-08-22 05:41:18.186704+00,2026-08-24,,,,,,
8841,8bb6cd9a-5d7f-5492-b5fe-0e2c6b33e081-amo-20260824-r96,e36bd07e-4eb9-48c0-8425-62ce25715149,FIV99,SHANTIGOLD,INE06ZD01017,NSE,SL_SELL_AMO,SELL,CNC,149,0,217.00,217.65,,,,STK_SHANTIGOLD_EQ_NSE_758002,758002,REJECTED,0,3,place order request failed: indira: session expired (AU0xx): AU004 Session expired,5087,2026-08-22 05:41:18.193483+00,,,,2026-08-22 05:41:18.199551+00,2026-08-24,,,,,,
8842,2e1816df-9f5a-510d-9617-22b2e8f81877-amo-20260824-r97,e36bd07e-4eb9-48c0-8425-62ce25715149,FIV99,MANORAMA,INE00VM01036,NSE,SL_SELL_AMO,SELL,CNC,20,0,1629.50,1634.40,,,,STK_MANORAMA_EQ_NSE_10227,10227,REJECTED,0,3,place order request failed: indira: session expired (AU0xx): AU004 Session expired,5086,2026-08-22 05:46:18.176862+00,,,,2026-08-22 05:46:18.184548+00,2026-08-24,,,,,,
8843,8bb6cd9a-5d7f-5492-b5fe-0e2c6b33e081-amo-20260824-r97,e36bd07e-4eb9-48c0-8425-62ce25715149,FIV99,SHANTIGOLD,INE06ZD01017,NSE,SL_SELL_AMO,SELL,CNC,149,0,217.00,217.65,,,,STK_SHANTIGOLD_EQ_NSE_758002,758002,REJECTED,0,3,place order request failed: indira: session expired (AU0xx): AU004 Session expired,5087,2026-08-22 05:46:18.189229+00,,,,2026-08-22 05:46:18.19435+00,2026-08-24,,,,,,
