id,order_id,event_type,old_status,new_status,broker_status,price,qty,detail,created_at
96,845,PLACED,PENDING,PLACED,"",1687.50,3,"",2026-08-25 13:25:40.729094+05:30
97,847,PLACED,PENDING,PLACED,"",1189.30,5,"",2026-08-25 13:25:40.736839+05:30
98,846,PLACED,PENDING,PLACED,"",147.42,40,"",2026-08-25 13:25:40.751862+05:30
99,848,PLACED,PENDING,PLACED,"",96.35,62,"",2026-08-25 13:25:40.75398+05:30
100,848,MODIFIED,PLACED,PLACED,"",96.52,0,"retry 1, drift 0.00%, escalation 0.20%",2026-08-25 13:25:50.929194+05:30
101,847,MODIFIED,PLACED,PLACED,"",1191.60,0,"retry 1, drift 0.01%, escalation 0.20%",2026-08-25 13:25:50.929203+05:30
102,845,MODIFIED,PLACED,PLACED,"",1691.10,0,"retry 1, drift 0.02%, escalation 0.20%",2026-08-25 13:25:50.929729+05:30
103,846,MODIFIED,PLACED,PLACED,"",147.69,0,"retry 1, drift 0.00%, escalation 0.20%",2026-08-25 13:25:50.989617+05:30
104,845,MODIFIED,PLACED,PLACED,"",1693.90,0,"retry 2, drift 0.01%, escalation 0.40%",2026-08-25 13:26:01.099905+05:30
105,848,MODIFIED,PLACED,PLACED,"",96.72,0,"retry 2, drift 0.00%, escalation 0.40%",2026-08-25 13:26:01.102872+05:30
106,846,MODIFIED,PLACED,PLACED,"",147.99,0,"retry 2, drift 0.00%, escalation 0.40%",2026-08-25 13:26:01.120458+05:30
107,847,MODIFIED,PLACED,PLACED,"",1194.10,0,"retry 2, drift 0.02%, escalation 0.40%",2026-08-25 13:26:01.121504+05:30
108,848,MODIFIED,PLACED,PLACED,"",96.91,0,"retry 3, drift 0.00%, escalation 0.60%",2026-08-25 13:26:11.262106+05:30
109,845,MODIFIED,PLACED,PLACED,"",1697.40,0,"retry 3, drift 0.00%, escalation 0.60%",2026-08-25 13:26:11.266904+05:30
110,847,MODIFIED,PLACED,PLACED,"",1196.40,0,"retry 3, drift 0.02%, escalation 0.60%",2026-08-25 13:26:11.273346+05:30
111,846,MODIFIED,PLACED,PLACED,"",148.28,0,"retry 3, drift 0.00%, escalation 0.60%",2026-08-25 13:26:11.27384+05:30
112,846,LIMIT_CANCELLED,PLACED,CANCELLED,"",0.00,0,max LIMIT retries — switching to MARKET fallback (safety-poll confirmed unfilled),2026-08-25 13:26:21.525695+05:30
113,848,LIMIT_CANCELLED,PLACED,CANCELLED,"",0.00,0,max LIMIT retries — switching to MARKET fallback (safety-poll confirmed unfilled),2026-08-25 13:26:21.532715+05:30
114,847,LIMIT_CANCELLED,PLACED,CANCELLED,"",0.00,0,max LIMIT retries — switching to MARKET fallback (safety-poll confirmed unfilled),2026-08-25 13:26:21.567338+05:30
115,845,LIMIT_CANCELLED,PLACED,CANCELLED,"",0.00,0,max LIMIT retries — switching to MARKET fallback (safety-poll confirmed unfilled),2026-08-25 13:26:21.575722+05:30
116,847,MARKET_FALLBACK_PLACED,CANCELLED,PLACED,"",0.00,5,broker_id=NZVAH00005I8,2026-08-25 13:26:21.624256+05:30
117,845,MARKET_FALLBACK_PLACED,CANCELLED,PLACED,"",0.00,3,broker_id=NZVAH00006I8,2026-08-25 13:26:21.634552+05:30
118,846,MARKET_FALLBACK_PLACED,CANCELLED,PLACED,"",0.00,40,broker_id=NZVAH00007I8,2026-08-25 13:26:22.239029+05:30
119,848,MARKET_FALLBACK_PLACED,CANCELLED,PLACED,"",0.00,62,broker_id=NZVAH00008I8,2026-08-25 13:26:22.244379+05:30
120,850,PLACED,PENDING,PLACED,"",162.98,36,"",2026-08-25 13:26:23.97383+05:30
121,849,PLACED,PENDING,PLACED,"",375.75,15,"",2026-08-25 13:26:23.993265+05:30
122,850,MODIFIED,PLACED,PLACED,"",163.29,0,"retry 1, drift 0.00%, escalation 0.20%",2026-08-25 13:26:34.150407+05:30
123,849,MODIFIED,PLACED,PLACED,"",376.40,0,"retry 1, drift 0.00%, escalation 0.20%",2026-08-25 13:26:34.197826+05:30
124,850,MODIFIED,PLACED,PLACED,"",163.61,0,"retry 2, drift 0.00%, escalation 0.40%",2026-08-25 13:26:44.340997+05:30
125,849,MODIFIED,PLACED,PLACED,"",377.15,0,"retry 2, drift 0.00%, escalation 0.40%",2026-08-25 13:26:44.352207+05:30
126,849,MODIFIED,PLACED,PLACED,"",377.90,0,"retry 3, drift 0.00%, escalation 0.60%",2026-08-25 13:26:54.503689+05:30
127,850,MODIFIED,PLACED,PLACED,"",163.94,0,"retry 3, drift 0.00%, escalation 0.60%",2026-08-25 13:26:54.536842+05:30
128,849,LIMIT_CANCELLED,PLACED,CANCELLED,"",0.00,0,max LIMIT retries — switching to MARKET fallback (safety-poll confirmed unfilled),2026-08-25 13:27:04.714523+05:30
129,850,LIMIT_CANCELLED,PLACED,CANCELLED,"",0.00,0,max LIMIT retries — switching to MARKET fallback (safety-poll confirmed unfilled),2026-08-25 13:27:04.730142+05:30
130,849,MARKET_FALLBACK_PLACED,CANCELLED,PLACED,"",0.00,15,broker_id=NZVAH0000BI8,2026-08-25 13:27:05.414922+05:30
131,850,MARKET_FALLBACK_PLACED,CANCELLED,PLACED,"",0.00,36,broker_id=NZVAH0000CI8,2026-08-25 13:27:05.426237+05:30
132,852,PLACED,PENDING,PLACED,"",3249.90,1,"",2026-08-25 13:27:07.781728+05:30
133,851,PLACED,PENDING,PLACED,"",337.50,17,"",2026-08-25 13:27:07.80376+05:30
134,851,MODIFIED,PLACED,PLACED,"",338.05,0,"retry 1, drift 0.00%, escalation 0.20%",2026-08-25 13:27:17.970614+05:30
135,852,MODIFIED,PLACED,PLACED,"",3253.90,0,"retry 1, drift 0.07%, escalation 0.20%",2026-08-25 13:27:17.984242+05:30
136,852,MODIFIED,PLACED,PLACED,"",3263.00,0,"retry 2, drift 0.01%, escalation 0.40%",2026-08-25 13:27:28.125441+05:30
137,851,MODIFIED,PLACED,PLACED,"",338.75,0,"retry 2, drift 0.00%, escalation 0.40%",2026-08-25 13:27:28.137171+05:30
