signal_id,user_id,strategy_id,symbol,isin,decided_at,ltp_at_decision,ema_alloc_pct,intended_qty,intended_invested,initial_sl_target,industry,mcap_bucket,index_name,status,dispatched_at,final_status_at,rejection_reason,user_override_until,signal_type,parent_signal_id,payload,kafka_payload
7d68a4c2-b5ff-5d68-802b-1a3a268877da,ND03920,b5aca8c5-b981-4789-ab90-bb0a539de466,LGEINDIA,INE324D01010,2026-08-25 13:25:40.317678+05:30,1687.30,0.3000,3,5061.90,1349.84,Consumer Durables,MID,NFTYMCP150,DISPATCHED,2026-08-25 13:25:40.328745+05:30,,,,ENTRY_BUY,,,"{""isin"": ""INE324D01010"", ""symbol"": ""LGEINDIA"", ""user_id"": ""ND03920"", ""exchange"": ""NSE"", ""industry"": ""Consumer Durables"", ""order_id"": ""7d68a4c2-b5ff-5d68-802b-1a3a268877da"", ""quantity"": 3, ""stop_loss"": 1349.8400000000001, ""timestamp"": ""2026-08-25T13:25:40.31748152+05:30"", ""index_name"": ""NFTYMCP150"", ""order_side"": ""BUY"", ""order_type"": ""MARKET"", ""entry_price"": 1687.3, ""mcap_bucket"": ""MID"", ""strategy_id"": ""b5aca8c5-b981-4789-ab90-bb0a539de466"", ""invested_amt"": 5061.9, ""product_type"": ""DELIVERY"", ""trading_mode"": ""LIVE"", ""txn_cost_pct"": 0.33, ""ema_alloc_pct"": 30, ""stop_loss_pct"": 20, ""stop_loss_type"": ""TRAILING"", ""trailing_sl_pct"": 2}"
ab7209ca-f483-5f98-9061-a5419081ca55,ND03920,b5aca8c5-b981-4789-ab90-bb0a539de466,SPECIALITY,INE247M01014,2026-08-25 13:25:40.360583+05:30,147.40,0.3000,40,5896.00,117.92,Restaurants,SMALL,NTYSLCP250,DISPATCHED,2026-08-25 13:25:40.363384+05:30,,,,ENTRY_BUY,,,"{""isin"": ""INE247M01014"", ""symbol"": ""SPECIALITY"", ""user_id"": ""ND03920"", ""exchange"": ""NSE"", ""industry"": ""Restaurants"", ""order_id"": ""ab7209ca-f483-5f98-9061-a5419081ca55"", ""quantity"": 40, ""stop_loss"": 117.92000000000002, ""timestamp"": ""2026-08-25T13:25:40.360415386+05:30"", ""index_name"": ""NTYSLCP250"", ""order_side"": ""BUY"", ""order_type"": ""MARKET"", ""entry_price"": 147.4, ""mcap_bucket"": ""SMALL"", ""strategy_id"": ""b5aca8c5-b981-4789-ab90-bb0a539de466"", ""invested_amt"": 5896, ""product_type"": ""DELIVERY"", ""trading_mode"": ""LIVE"", ""txn_cost_pct"": 0.33, ""ema_alloc_pct"": 30, ""stop_loss_pct"": 20, ""stop_loss_type"": ""TRAILING"", ""trailing_sl_pct"": 2}"
f5182e33-0a36-5748-81ed-17b9be938ec6,ND03920,b5aca8c5-b981-4789-ab90-bb0a539de466,HOMEFIRST,INE481N01025,2026-08-25 13:25:40.39505+05:30,1189.10,0.3000,5,5945.50,951.28,Housing Finance,SMALL,NTYSLCP250,DISPATCHED,2026-08-25 13:25:40.397483+05:30,,,,ENTRY_BUY,,,"{""isin"": ""INE481N01025"", ""symbol"": ""HOMEFIRST"", ""user_id"": ""ND03920"", ""exchange"": ""NSE"", ""industry"": ""Housing Finance"", ""order_id"": ""f5182e33-0a36-5748-81ed-17b9be938ec6"", ""quantity"": 5, ""stop_loss"": 951.28, ""timestamp"": ""2026-08-25T13:25:40.394892358+05:30"", ""index_name"": ""NTYSLCP250"", ""order_side"": ""BUY"", ""order_type"": ""MARKET"", ""entry_price"": 1189.1, ""mcap_bucket"": ""SMALL"", ""strategy_id"": ""b5aca8c5-b981-4789-ab90-bb0a539de466"", ""invested_amt"": 5945.5, ""product_type"": ""DELIVERY"", ""trading_mode"": ""LIVE"", ""txn_cost_pct"": 0.33, ""ema_alloc_pct"": 30, ""stop_loss_pct"": 20, ""stop_loss_type"": ""TRAILING"", ""trailing_sl_pct"": 2}"
2cd92066-75d3-5055-848b-bb4e2ade3292,ND03920,b5aca8c5-b981-4789-ab90-bb0a539de466,LINC,INE802B01027,2026-08-25 13:25:40.427891+05:30,96.33,0.3000,62,5972.46,77.06,Stationery,SMALL,NTYSLCP250,DISPATCHED,2026-08-25 13:25:40.430361+05:30,,,,ENTRY_BUY,,,"{""isin"": ""INE802B01027"", ""symbol"": ""LINC"", ""user_id"": ""ND03920"", ""exchange"": ""NSE"", ""industry"": ""Stationery"", ""order_id"": ""2cd92066-75d3-5055-848b-bb4e2ade3292"", ""quantity"": 62, ""stop_loss"": 77.06400000000001, ""timestamp"": ""2026-08-25T13:25:40.427643946+05:30"", ""index_name"": ""NTYSLCP250"", ""order_side"": ""BUY"", ""order_type"": ""MARKET"", ""entry_price"": 96.33, ""mcap_bucket"": ""SMALL"", ""strategy_id"": ""b5aca8c5-b981-4789-ab90-bb0a539de466"", ""invested_amt"": 5972.46, ""product_type"": ""DELIVERY"", ""trading_mode"": ""LIVE"", ""txn_cost_pct"": 0.33, ""ema_alloc_pct"": 30, ""stop_loss_pct"": 20, ""stop_loss_type"": ""TRAILING"", ""trailing_sl_pct"": 2}"
84db61b7-c63b-5095-80e3-1df89726ab98,ND03920,b5aca8c5-b981-4789-ab90-bb0a539de466,ORIENTBELL,INE607D01018,2026-08-25 13:25:41.200063+05:30,375.65,0.3000,15,5634.75,300.52,Ceramics,SMALL,NTYSLCP250,DISPATCHED,2026-08-25 13:25:41.210235+05:30,,,,ENTRY_BUY,,,"{""isin"": ""INE607D01018"", ""symbol"": ""ORIENTBELL"", ""user_id"": ""ND03920"", ""exchange"": ""NSE"", ""industry"": ""Ceramics"", ""order_id"": ""84db61b7-c63b-5095-80e3-1df89726ab98"", ""quantity"": 15, ""stop_loss"": 300.52, ""timestamp"": ""2026-08-25T13:25:41.199815635+05:30"", ""index_name"": ""NTYSLCP250"", ""order_side"": ""BUY"", ""order_type"": ""MARKET"", ""entry_price"": 375.65, ""mcap_bucket"": ""SMALL"", ""strategy_id"": ""b5aca8c5-b981-4789-ab90-bb0a539de466"", ""invested_amt"": 5634.75, ""product_type"": ""DELIVERY"", ""trading_mode"": ""LIVE"", ""txn_cost_pct"": 0.33, ""ema_alloc_pct"": 30, ""stop_loss_pct"": 20, ""stop_loss_type"": ""TRAILING"", ""trailing_sl_pct"": 2}"
62227199-5874-5f25-bf84-0f41d37a90f4,ND03920,b5aca8c5-b981-4789-ab90-bb0a539de466,GENUSPOWER,INE955D01029,2026-08-25 13:25:44.165804+05:30,337.30,0.3000,17,5734.10,269.84,Electrical Equipment,SMALL,NTYSLCP250,DISPATCHED,2026-08-25 13:25:44.175901+05:30,,,,ENTRY_BUY,,,"{""isin"": ""INE955D01029"", ""symbol"": ""GENUSPOWER"", ""user_id"": ""ND03920"", ""exchange"": ""NSE"", ""industry"": ""Electrical Equipment"", ""order_id"": ""62227199-5874-5f25-bf84-0f41d37a90f4"", ""quantity"": 17, ""stop_loss"": 269.84000000000003, ""timestamp"": ""2026-08-25T13:25:44.165653872+05:30"", ""index_name"": ""NTYSLCP250"", ""order_side"": ""BUY"", ""order_type"": ""MARKET"", ""entry_price"": 337.3, ""mcap_bucket"": ""SMALL"", ""strategy_id"": ""b5aca8c5-b981-4789-ab90-bb0a539de466"", ""invested_amt"": 5734.1, ""product_type"": ""DELIVERY"", ""trading_mode"": ""LIVE"", ""txn_cost_pct"": 0.33, ""ema_alloc_pct"": 30, ""stop_loss_pct"": 20, ""stop_loss_type"": ""TRAILING"", ""trailing_sl_pct"": 2}"
b5ae00bc-22cc-58a1-8845-53233cd34c1e,ND03920,b5aca8c5-b981-4789-ab90-bb0a539de466,FEDERALBNK,INE171A01029,2026-08-25 13:25:47.126367+05:30,345.60,0.3000,17,5875.20,276.48,Banks,MID,NFTYMCP150,DISPATCHED,2026-08-25 13:25:47.136345+05:30,,,,ENTRY_BUY,,,"{""isin"": ""INE171A01029"", ""symbol"": ""FEDERALBNK"", ""user_id"": ""ND03920"", ""exchange"": ""NSE"", ""industry"": ""Banks"", ""order_id"": ""b5ae00bc-22cc-58a1-8845-53233cd34c1e"", ""quantity"": 17, ""stop_loss"": 276.48, ""timestamp"": ""2026-08-25T13:25:47.126153976+05:30"", ""index_name"": ""NFTYMCP150"", ""order_side"": ""BUY"", ""order_type"": ""MARKET"", ""entry_price"": 345.6, ""mcap_bucket"": ""MID"", ""strategy_id"": ""b5aca8c5-b981-4789-ab90-bb0a539de466"", ""invested_amt"": 5875.200000000001, ""product_type"": ""DELIVERY"", ""trading_mode"": ""LIVE"", ""txn_cost_pct"": 0.33, ""ema_alloc_pct"": 30, ""stop_loss_pct"": 20, ""stop_loss_type"": ""TRAILING"", ""trailing_sl_pct"": 2}"
03ab16fa-b48a-5c84-85ce-17a61199842b,ND03920,b5aca8c5-b981-4789-ab90-bb0a539de466,PACEDIGITK,INE0S3G01027,2026-08-25 13:25:50.084486+05:30,181.37,0.3000,32,5803.84,145.10,Digital Services,SMALL,NTYSLCP250,DISPATCHED,2026-08-25 13:25:50.08702+05:30,,,,ENTRY_BUY,,,"{""isin"": ""INE0S3G01027"", ""symbol"": ""PACEDIGITK"", ""user_id"": ""ND03920"", ""exchange"": ""NSE"", ""industry"": ""Digital Services"", ""order_id"": ""03ab16fa-b48a-5c84-85ce-17a61199842b"", ""quantity"": 32, ""stop_loss"": 145.096, ""timestamp"": ""2026-08-25T13:25:50.084381397+05:30"", ""index_name"": ""NTYSLCP250"", ""order_side"": ""BUY"", ""order_type"": ""MARKET"", ""entry_price"": 181.37, ""mcap_bucket"": ""SMALL"", ""strategy_id"": ""b5aca8c5-b981-4789-ab90-bb0a539de466"", ""invested_amt"": 5803.84, ""product_type"": ""DELIVERY"", ""trading_mode"": ""LIVE"", ""txn_cost_pct"": 0.33, ""ema_alloc_pct"": 30, ""stop_loss_pct"": 20, ""stop_loss_type"": ""TRAILING"", ""trailing_sl_pct"": 2}"
2e5130a2-a4c3-5573-8594-c991d159e1d7,ND03920,b5aca8c5-b981-4789-ab90-bb0a539de466,PYRAMID,INE0MIS01010,2026-08-25 13:25:53.046071+05:30,163.19,0.3000,36,5874.84,130.55,Infrastructure,SMALL,NTYSLCP250,DISPATCHED,2026-08-25 13:25:53.056178+05:30,,,,ENTRY_BUY,,,"{""isin"": ""INE0MIS01010"", ""symbol"": ""PYRAMID"", ""user_id"": ""ND03920"", ""exchange"": ""NSE"", ""industry"": ""Infrastructure"", ""order_id"": ""2e5130a2-a4c3-5573-8594-c991d159e1d7"", ""quantity"": 36, ""stop_loss"": 130.552, ""timestamp"": ""2026-08-25T13:25:53.0458248+05:30"", ""index_name"": ""NTYSLCP250"", ""order_side"": ""BUY"", ""order_type"": ""MARKET"", ""entry_price"": 163.19, ""mcap_bucket"": ""SMALL"", ""strategy_id"": ""b5aca8c5-b981-4789-ab90-bb0a539de466"", ""invested_amt"": 5874.84, ""product_type"": ""DELIVERY"", ""trading_mode"": ""LIVE"", ""txn_cost_pct"": 0.33, ""ema_alloc_pct"": 30, ""stop_loss_pct"": 20, ""stop_loss_type"": ""TRAILING"", ""trailing_sl_pct"": 2}"
25a80193-3251-594b-b4a1-8aafc0863aa5,ND03920,b5aca8c5-b981-4789-ab90-bb0a539de466,ACUTAAS,INE00FF01025,2026-08-25 13:25:56.016072+05:30,3248.70,0.3000,1,3248.70,2598.96,Pharmaceuticals,SMALL,NTYSLCP250,DISPATCHED,2026-08-25 13:25:56.018416+05:30,,,,ENTRY_BUY,,,"{""isin"": ""INE00FF01025"", ""symbol"": ""ACUTAAS"", ""user_id"": ""ND03920"", ""exchange"": ""NSE"", ""industry"": ""Pharmaceuticals"", ""order_id"": ""25a80193-3251-594b-b4a1-8aafc0863aa5"", ""quantity"": 1, ""stop_loss"": 2598.96, ""timestamp"": ""2026-08-25T13:25:56.01596505+05:30"", ""index_name"": ""NTYSLCP250"", ""order_side"": ""BUY"", ""order_type"": ""MARKET"", ""entry_price"": 3248.7, ""mcap_bucket"": ""SMALL"", ""strategy_id"": ""b5aca8c5-b981-4789-ab90-bb0a539de466"", ""invested_amt"": 3248.7, ""product_type"": ""DELIVERY"", ""trading_mode"": ""LIVE"", ""txn_cost_pct"": 0.33, ""ema_alloc_pct"": 30, ""stop_loss_pct"": 20, ""stop_loss_type"": ""TRAILING"", ""trailing_sl_pct"": 2}"
ae96ac69-3b4b-5aeb-9797-7f5e8dca4947,ND03920,b5aca8c5-b981-4789-ab90-bb0a539de466,RELIANCE,INE002A01018,2026-08-25 13:33:33.088925+05:30,1302.90,0.4000,6,7817.40,1042.32,Refineries & Marketing,LARGE,NIFTY50,DISPATCHED,2026-08-25 13:33:33.099611+05:30,,,,ENTRY_BUY,,,"{""isin"": ""INE002A01018"", ""symbol"": ""RELIANCE"", ""user_id"": ""ND03920"", ""exchange"": ""NSE"", ""industry"": ""Refineries & Marketing"", ""order_id"": ""ae96ac69-3b4b-5aeb-9797-7f5e8dca4947"", ""quantity"": 6, ""stop_loss"": 1042.3200000000002, ""timestamp"": ""2026-08-25T13:33:33.088758913+05:30"", ""index_name"": ""NIFTY50"", ""order_side"": ""BUY"", ""order_type"": ""MARKET"", ""entry_price"": 1302.9, ""mcap_bucket"": ""LARGE"", ""strategy_id"": ""b5aca8c5-b981-4789-ab90-bb0a539de466"", ""invested_amt"": 7817.400000000001, ""product_type"": ""DELIVERY"", ""trading_mode"": ""LIVE"", ""txn_cost_pct"": 0.33, ""ema_alloc_pct"": 40, ""stop_loss_pct"": 20, ""stop_loss_type"": ""TRAILING"", ""trailing_sl_pct"": 2}"
ade0a9c1-071e-5e89-886b-2c6533d4eaa3,ND03920,b5aca8c5-b981-4789-ab90-bb0a539de466,INFY,INE009A01021,2026-08-25 13:37:44.019444+05:30,1121.70,0.4000,7,7851.90,897.36,IT - Software,LARGE,NIFTY50,DISPATCHED,2026-08-25 13:37:44.022421+05:30,,,,ENTRY_BUY,,,"{""isin"": ""INE009A01021"", ""symbol"": ""INFY"", ""user_id"": ""ND03920"", ""exchange"": ""NSE"", ""industry"": ""IT - Software"", ""order_id"": ""ade0a9c1-071e-5e89-886b-2c6533d4eaa3"", ""quantity"": 7, ""stop_loss"": 897.3600000000001, ""timestamp"": ""2026-08-25T13:37:44.01934211+05:30"", ""index_name"": ""NIFTY50"", ""order_side"": ""BUY"", ""order_type"": ""MARKET"", ""entry_price"": 1121.7, ""mcap_bucket"": ""LARGE"", ""strategy_id"": ""b5aca8c5-b981-4789-ab90-bb0a539de466"", ""invested_amt"": 7851.900000000001, ""product_type"": ""DELIVERY"", ""trading_mode"": ""LIVE"", ""txn_cost_pct"": 0.33, ""ema_alloc_pct"": 40, ""stop_loss_pct"": 20, ""stop_loss_type"": ""TRAILING"", ""trailing_sl_pct"": 2}"
